dialogue_id,line_no,speaker_id,표정,대사,대사_en,연출태그,조건플래그,다음대화,비고
dlg_front_door,1,chr_doctor,normal,"웅장한데, 어딘가 폐허 같다. 문은 잠겨 있지 않다.","Grand, and somehow a ruin. The door isn't locked.",,,,
dlg_front_sloth,1,,,"어두운 그림자 속에서, 한 사람이 천천히 걸어 나왔다.","Out of the dark, someone walked slowly toward me.",[sfx:step],,,
dlg_front_sloth,2,chr_sloth,sleepy,드디어 왔네. 너도 사고로 여기 떨어졌지?,"So you finally got here. An accident dropped you in too, didn't it?",,,,
dlg_front_sloth,3,chr_doctor,surprised,"…당신, 나랑 똑같이 생겼잖아.",...You have my face.,[shake],,,
dlg_front_sloth,4,chr_sloth,sleepy,그래. 나는 '나태'야.,That's right. I'm Sloth.,,,,
dlg_front_sloth,5,chr_sloth,sleepy,여긴 평행세계의 박사들이 모인— 감옥 같은 곳이고.,"This is where the doctors of parallel worlds end up. A prison, more or less.",,,,
dlg_front_sloth,6,chr_doctor,normal,감옥…?,A prison...?,[flag:flg_met_sloth],,,여기서 선택지 분기
dlg_front_why,1,chr_sloth,sleepy,우리 일곱은 각자 타임머신을 만들었어.,All seven of us built a time machine.,,,,
dlg_front_why,2,chr_sloth,sad,"그런데 그 기계들은 계속, 누군가의 방해로 망가졌지.",And every one of them kept breaking. Someone kept breaking them.,,,,
dlg_front_why,3,chr_doctor,surprised,…일부러 망가뜨리는 사람이 있다는 거야?,...You're saying someone wrecks them on purpose?,,,,
dlg_front_why,4,chr_sloth,sleepy,들어와. 여기 서서 할 얘긴 아니야.,Come inside. This isn't a conversation for the doorstep.,,,,
dlg_front_rebuild,1,chr_doctor,normal,우린 천재잖아. 다시 만들면 되지 않아?,We're geniuses. Can't we just build another one?,,,,
dlg_front_rebuild,2,chr_sloth,sleepy,…해봤어. 몇 번인지 세는 것도 그만뒀고.,...We tried. I stopped counting how many times.,,,,
dlg_front_rebuild,3,chr_sloth,sleepy,들어와. 직접 보는 게 빠르겠지.,Come inside. It'll be faster if you see it yourself.,,,,
dlg_living_sloth,1,chr_sloth,sleepy,여섯 명이 더 있어. 각자 방에 처박혀 있지.,There are six more of us. Each one shut away in his own room.,,,,
dlg_living_sloth,2,chr_sloth,sleepy,돌아다니면서 직접 물어봐. 나보단 걔들이 말이 많아.,Go around and ask them yourself. They talk more than I do.,[flag:flg_ch1_start],,,
dlg_living_sofa,1,chr_doctor,normal,"앉은 자국이 깊게 패어 있다. 아주 오래, 자주 앉았던 자리다.","The seat is worn deep. Someone sat here for a very long time, very often.",,,,
dlg_living_gear,1,chr_doctor,normal,부서진 톱니가 바닥에 떨어져 있다.,A broken gear lies on the floor.,,,,
dlg_living_gear,2,chr_doctor,surprised,…부서진 방향이 이상한데. 바깥이 아니라 안쪽에서 깨졌어.,"...The break runs the wrong way. It shattered from the inside, not the outside.",[get:ev_broken_gear],,,
dlg_living_note,1,chr_doctor,normal,탁자 위에 수첩 한 권.,A notebook on the table.,[get:ev_sloth_note],,,
dlg_ask_sloth_gear,1,chr_sloth,sleepy,"아, 그거. 내 거였어.","Ah. That one. That was mine.",,,,
dlg_ask_sloth_gear,2,chr_doctor,normal,안쪽에서 부서졌어. 누가 바깥에서 부순 게 아니야.,It broke from the inside. Nobody smashed it from outside.,,,,
dlg_ask_sloth_gear,3,chr_sloth,normal,…그러네. 왜 그 생각을 못 했지.,...You're right. Why did that never occur to me.,,,,
dlg_ask_sloth_gear,4,chr_sloth,sad,이상하지. 분명히 내가 부쉈다고 기억하고 있었는데.,It's strange. I distinctly remember breaking it myself.,[get:ev_chr_sloth],,,
dlg_ask_sloth_drawing,1,chr_sloth,surprised,"……어디서 났어, 그거.",......Where did you get that.,,,,
dlg_ask_sloth_drawing,2,chr_doctor,normal,창고에서. 이 저택에 아이가 있었어?,The storage room. Was there ever a child in this house?,,,,
dlg_ask_sloth_drawing,3,chr_sloth,sad,…모르겠어. 기억이 안 나. 그게 제일 무서운 거야.,...I don't know. I can't remember. That's the part that frightens me.,,,,
dlg_hall_portraits,1,chr_doctor,normal,초상화가 일곱 개 걸려 있다. 전부 내 얼굴이다.,Seven portraits hang here. Every one of them is my face.,,,,
dlg_hall_portraits,2,chr_doctor,surprised,"…아니, 여섯 개에만 이름표가 붙어 있다. 하나는 비어 있어.","...No — only six have nameplates. One is blank.",,,,
dlg_hall_deduce,1,chr_doctor,normal,지금까지 모은 걸 정리해보자.,Let me put together what I have so far.,[puzzle:pzl_ch1_deduce],,,
dlg_ch1_truth,1,chr_doctor,surprised,…그래. 아무도 이름을 말하지 않는 사람이 있어.,...That's it. There's someone whose name nobody says.,,,,
dlg_ch1_truth,2,chr_doctor,normal,"여섯 명 모두가, 약속한 것처럼 그 이름만 비워두고 있었다.","All six of them left that one name blank, as if they'd agreed on it.",[flag:flg_ch2_clear],,,
dlg_ch1_wrong_person,1,chr_doctor,normal,…아니야. 이 사람은 자기 기계가 부서진 쪽이야.,...No. This one is among those whose machine was broken.,,,,
dlg_ch1_wrong_thing,1,chr_doctor,normal,…이건 근거가 못 돼. 더 결정적인 게 필요해.,...This doesn't prove anything. I need something more decisive.,,,,
dlg_storage_greed,1,chr_greed,normal,손대지 마. 여기 있는 건 전부 내 거야.,Don't touch anything. Everything in here is mine.,,,,
dlg_storage_greed,2,chr_doctor,normal,부품을 모아두고 있었구나.,So you've been collecting parts.,,,,
dlg_storage_greed,3,chr_greed,normal,모아둔 게 아니라 지킨 거야. 안 그러면 또 부서지니까.,I haven't been collecting. I've been guarding. Otherwise they break again.,[get:ev_chr_greed],,,
dlg_storage_lock,1,chr_doctor,normal,네 자리 다이얼 자물쇠가 걸린 캐비닛.,A cabinet with a four-digit dial lock.,,,,
dlg_storage_lock,2,chr_greed,normal,…열어봐야 소용없어. 번호는 나도 잊었으니까.,...No point trying. I've forgotten the number myself.,[puzzle:pzl_ch1_lock],,,
dlg_storage_open,1,,,"철컥, 하고 자물쇠가 풀렸다.","With a clack, the lock gave way.",[sfx:unlock],,,
dlg_storage_open,2,chr_greed,surprised,…어떻게 알았어?,...How did you know?,,,,
dlg_storage_open,3,chr_doctor,normal,장부 7번째 칸이 비어 있었어. 당신은 빈칸을 못 견디는 사람이잖아.,The seventh row of your ledger was blank. You're not a man who can stand a blank.,,,,
dlg_storage_fail,1,chr_doctor,normal,…조금 더 단서를 모아야겠다.,...I need to gather a little more first.,,,,
dlg_storage_inside,1,chr_doctor,normal,"캐비닛 안에는 장부 한 권과, 그리고—","Inside the cabinet: a ledger, and—",[get:ev_greed_ledger],,,
dlg_storage_inside,2,chr_doctor,surprised,…크레파스로 그린 그림?,...a crayon drawing?,[get:ev_child_drawing][flag:flg_saw_drawing],,,
dlg_storage_inside,3,chr_doctor,normal,두 사람이 그려져 있다. 그런데 한 명의 얼굴만 까맣게 덧칠돼 있었다.,Two figures. And one of the faces has been scribbled out in black.,[get:ev_chr_pride],,,
dlg_ask_greed_ledger,1,chr_greed,normal,그건 내가 쓴 거야. 누가 뭘 가져갔는지 전부.,I wrote that. Every single thing anyone took.,,,,
dlg_ask_greed_ledger,2,chr_doctor,normal,7번째 칸이 비어 있어.,The seventh row is blank.,,,,
dlg_ask_greed_ledger,3,chr_greed,surprised,…비어 있다고? 내가? 그럴 리가 없는데.,...Blank? Mine? That can't be right.,,,,
